Ticker,Simple RNN MAE,Simple RNN RMSE,Simple RNN MAPE,Simple RNN R²,GRU MAE,GRU RMSE,GRU MAPE,GRU R²,LSTM MAE,LSTM RMSE,LSTM MAPE,LSTM R²
ACB,2739.8234263029094,3525.0623019844707,2.913667067211639,0.07534505566605332,3593.9209406614245,4685.778103642604,3.8339060036268675,-0.6338400561074138,2024.7991320694514,2547.280954481394,2.1602096148856664,0.517163827020547
BCM,370.01417512851646,453.7943424692543,2.880130484875292,0.5716088714650088,506.39702866254606,653.1135512551373,3.9572472791791338,0.11264029398584796,296.78003602507175,365.96011552620354,2.2882388275705483,0.7213944098019216
BID,2982.98726364533,3655.858258319333,2.9045283458163684,0.5808945780312228,4889.310420943003,5899.297285489438,4.752897897084326,-0.09130248790488826,2599.4773327495654,3215.3075469593346,2.510190890987473,0.6758174601262913
BVH,3590.884379451426,4581.244846530406,3.4952850124579395,0.8761089978817009,4075.9539014985075,5084.64633368127,4.088165056152734,0.8473860404458018,2399.681036602651,2912.195101987659,2.4362802861442208,0.9499373663157187
CTG,4452.083150747574,5334.433514293111,2.8343081662831917,0.8263005357144761,5669.554924962822,6997.19480908136,3.6094619281270437,0.7011386208502655,3550.636629335864,4400.478420449547,2.259844232475239,0.8817988622550686
FPT,2663.587084188316,3159.3699659041135,2.6804116317177815,0.13540403231185272,3748.619621500034,4533.754272676774,3.799045522151944,-0.7804434773085505,2583.334051461102,3167.8980285013276,2.60997927599154,0.13073013846757575
GAS,3905.3069093916647,4879.214422105767,3.1448967484575463,0.8728155422661297,3944.6886131317415,4865.66324685977,3.250672908417112,0.8735210269471523,2666.455525809509,3269.633610211999,2.1603294707535246,0.9428873367200246
GVR,3566.836312580161,4453.311979952867,2.8742180702630997,0.6156640649591667,4766.712345841184,5939.496257432568,3.8351249919032098,0.31633400891465413,3116.4177626491746,3964.676323995417,2.4899529733507513,0.6953787295179543
HDB,373.1366492408924,464.0886046768506,2.7613484237849653,0.8579803613058108,446.45409934529516,566.0389661556961,3.371549671053469,0.7887293093677578,283.4928715190909,357.5497200666365,2.126492756180302,0.9157015714943272
HPG,2012.8349938522326,2593.2230291279693,3.004252629677016,0.8361237975940677,2669.7527872055334,3218.127367611459,3.992705273631096,0.7476271633254554,1655.0059045067867,2091.4750789249515,2.498978425221533,0.8934038449095603
LPB,1060.4155211578936,1268.4673081314334,3.9943403534946063,0.9240514210155821,1051.899676081353,1339.4027935597503,3.9301437164811235,0.9153194839799306,633.269385532868,818.7580629592006,2.320240560627718,0.9683573917317777
MBB,1679.3593045648686,2026.9256498954014,2.6062144626683454,0.24865049160438857,1966.437166866405,2510.186611135121,3.0499900909636066,-0.1523340293067894,1503.9708783403817,1946.615264656285,2.322690287764777,0.3070105567332063
MSN,2524.629433225651,3112.491371916836,3.2380653715847862,0.5185488782183181,3796.933906504404,4890.322187141297,4.821589101177005,-0.188531880728263,2068.2184205444346,2643.841958473432,2.6512241876727383,0.6526183514177742
MWG,2009.019984940775,2657.6617388783957,3.455085856444969,0.8095790569938148,2522.72764589129,3348.3438295183,4.323072375560197,0.6977436741630183,1383.9462930957416,1830.107757341253,2.4055758595825614,0.9097039760790737
PLX,5075.247480791448,6386.589825893788,3.3129415156154813,0.18796816217788193,7063.792939891115,8720.82173428562,4.605797497426862,-0.5140834962723146,4101.925205220209,4998.916277231418,2.674302046895019,0.5025072753973765
SAB,1123.1024486971794,1376.060698860666,3.810586341807383,0.8104840058781015,928.6610053300122,1214.2372704532165,3.1514897404195663,0.8524368886328815,752.1917148900582,946.883554358438,2.5293288959906848,0.9102645938607029
SSB,3485.451782488731,4352.360906949743,2.6524124017575184,0.2840387116665889,4699.393796266965,5959.386023636921,3.580688548707932,-0.3422789373750521,3484.662794376162,4305.550009647155,2.6517564172246595,0.2993566324151441
SSI,7464.638152123975,9504.759895116742,3.306844000077335,0.843814680861404,8422.650315944613,11275.42522248301,3.737319297887381,0.7802019846004157,5607.562001382964,7279.019955631733,2.475291891332437,0.9083982588857291
STS,2183.260717919116,2886.4929248425838,3.031365582885438,0.8071540929928163,2516.657740023815,3346.5677096618865,3.501835838297497,0.7407799060082771,1773.1390201896997,2178.0479097585226,2.4891399438868125,0.8901995074738585
TCB,2367.4162801577213,3019.1440825337822,2.645454512073127,0.7654491994621403,3446.0377742716983,4359.807683984666,3.913612007587961,0.5108929691129002,2408.488700400843,2937.95025701786,2.7150922991955437,0.7778951113715733
TEB,900.0311145253065,1067.5825386993183,2.9348534333782696,0.8864290559181766,1063.1567408152305,1346.9474346046818,3.409022266420905,0.8192136622854527,755.7891372517939,933.4497786541615,2.433340081921753,0.9131747132469307
TPB,1282.1337445608451,1546.7458654028298,3.5216065514642736,0.6279092408365696,1699.8248817984968,2112.2771671087753,4.744392480249526,0.306074629511943,1039.9220550599493,1286.9506216037275,2.8639505646278427,0.742406603876264
VCB,4659.841391423545,5673.2243440647335,3.3264027533058815,0.885904286637855,5799.404807977427,6792.709711125855,4.073327906953921,0.8364330622789681,3108.6190356280817,3906.910648459026,2.1953163632264587,0.9458901449709936
VHM,5910.812990727024,7255.3709214066175,3.6374761949448193,0.8162855183976195,6534.563718866296,8019.032875979666,4.112821747425783,0.7755765990601832,3674.05206110097,4559.197467671177,2.2959282217145587,0.9274560904472988
VIB,4108.266017863946,5342.958970355403,3.1407062359027114,0.4851335358876302,4383.110042324676,5686.274923863892,3.341306098612187,0.41684146877175277,3087.617536779824,3966.003360806907,2.3622066700234003,0.7163145365198657
