Ticker,Simple RNN MAE,Simple RNN RMSE,Simple RNN MAPE,Simple RNN R²,GRU MAE,GRU RMSE,GRU MAPE,GRU R²,LSTM MAE,LSTM RMSE,LSTM MAPE,LSTM R²
ACB,10550.1368345785,13920.44151700147,19.224049362776373,-29.128160946067382,30917.841136901192,41639.74880184681,56.58222778193153,-268.57698037940486,16420.00135961321,20210.116045296498,29.939588955785084,-62.504458470360674
BCM,9400.829763615593,11374.670742235117,19.340450261979058,-44.536249033452386,27140.98922994201,31937.99977920997,55.7196617589885,-358.0004659787131,13145.204154088287,16427.824965185428,27.078721021459696,-93.98165201042585
BID,3205.1035782806407,4037.0845395791216,16.768974293339774,-4.416490083688902,9223.546518713852,11201.679475447221,48.676187486779824,-40.7011995429704,4209.556951026119,5345.169348551403,22.204231981544016,-8.495223749827856
BVH,12746.946689257325,15775.500633058473,17.56858837532085,-11.519241669369634,42997.57409110724,52886.95333937814,58.982322872001255,-139.704770096454,18704.97449551885,23330.583630964953,25.748762748128932,-26.381858918330845
CTG,6800.7028601835755,8520.868526133687,16.130165244975693,-4.990642187182355,17852.870383343263,23016.544212248587,42.63992824953077,-42.71051134733344,9661.737427862088,11790.427850178008,23.101800127360132,-10.470036024141816
FPT,26916.25228879015,33795.91709559757,18.76424800966119,-28.51722841242254,88724.58523649942,115626.32975920901,61.85936658804656,-344.50997058747396,41373.898455010065,49725.63528532977,28.921412524410496,-62.90101910641642
GAS,36108.10458128812,44282.76542510492,18.612886323395735,-16.915353901074813,124158.38901883329,145151.5134634374,64.51129452760026,-191.48596107183258,46324.953071556054,58103.80411186075,23.864673859700954,-29.843599613750424
GVR,25369.061885052815,32067.988498765844,19.335142916346584,-26.035474235600297,85772.43513333207,104461.93798503245,65.26915935758923,-285.88425325843485,36086.32075729867,45739.22090707249,27.61432828226172,-54.00068259149604
HDB,34576.56423269524,41826.82023121368,17.716325450690405,-8.591740103133517,125855.11937545176,155099.68320268893,64.4426481258441,-130.88928825003183,45212.862808219834,56336.96585908622,23.106981338199468,-16.401016146774488
HPG,2781.8536820559943,3538.858880382413,18.09438578195043,-7.601327911782223,7606.313216687753,10708.719396305974,49.475411354467944,-77.76152077943426,4003.9562438760554,4989.479460857035,26.01380165930275,-16.0981646167991
LPB,29266.892852029127,36572.86836221156,18.20948736795205,-18.913933530843416,101898.50761602331,122835.87258242731,63.20025623520853,-223.64121431194766,42888.79163178062,53303.76717649628,26.829785399634147,-41.30140713527327
MBB,22782.054855743034,29211.083598148627,13.118635977811513,-8.616006179332222,67599.98337886823,89378.08476371822,39.394213801225455,-89.0246593745089,37528.66577216361,47513.48915121878,21.407728714467382,-24.440945433524703
MSN,1452.090196187404,1934.039643232318,17.428979151347914,-3.581513214382097,4928.342755450484,6308.661297833443,60.29413583833525,-47.74753084120252,2130.5407989637574,2997.9482846673327,25.454959047393857,-10.008457589489833
MWG,11155.625387748767,14497.801783304005,18.61121382821429,-3.5497695579869255,37051.702539827995,43938.845175614035,62.416440768162055,-40.79096137271165,16509.27379128008,20761.545873691965,27.71879395355595,-8.33049017200086
PLX,41522.647369504084,53071.81892516921,18.394438310017865,-23.683335957844044,132481.427121926,186084.88647729484,59.43279599810726,-302.4576659915996,60072.1947580932,74005.09182380115,26.719550762484484,-46.99534448225884
SAB,2795.5695532623945,3400.718903531884,16.969209860698964,-11.30643115052793,10117.495711934698,12216.766649132065,60.85711551350413,-157.81927618447853,3951.201666994826,4908.742430308689,23.9299322933747,-24.640774804610007
SSB,44684.42535961234,55492.17433254475,19.293713935808725,-22.64852780759377,167271.01020420226,191479.1256311409,72.9898759584287,-280.56813038981556,63718.15754178564,77799.73916365574,27.512126735040987,-45.48329521287691
SSI,11812.106820784855,14552.472165807669,13.655957709280573,-4.0554050470536955,31699.881032504007,38621.8657839104,36.85283107868818,-34.608108423709965,19810.509402000393,24152.740532893047,23.027417623812973,-12.925642278181769
STS,31142.32185437458,37893.20839084085,14.84217156622109,-39.71095848595875,89248.36212337985,104979.04868520911,42.49289870968374,-311.45957428158925,55132.83828819201,68569.01171974374,26.289035063485073,-132.3043590393918
TCB,3356.466840921968,4141.863933528959,15.78721187395419,-18.417114047505322,9786.479326145989,12077.425734868191,46.126753116128086,-164.0979868497793,4944.973173649645,6108.098979965513,23.2127325662946,-41.22845170851789
TEB,4507.131728932554,5535.771549824819,17.354574638735894,-20.684373117401815,11816.437899963403,14132.020865250599,45.586407874722994,-140.3185239692884,6765.159316704488,8332.45043516666,26.005982679293094,-48.128785785303215
TPB,13038.081322450054,16511.949606464997,17.088905477399646,-2.323702280568405,49649.293833313255,60448.49816962861,65.77553841678045,-43.544740865872214,19147.941366540435,24440.31386904016,24.724521703788003,-6.281803644957486
VCB,36586.96763163332,44608.607721807886,19.43860660041245,-4.455621461601069,123677.926457104,156927.84336574725,66.39384653373247,-66.51603108507196,44378.79359897403,55215.31299203004,23.491932111617412,-7.358454225992968
VHM,4368.319438172504,5417.31177686953,15.147816902452348,-9.682524322519713,13034.690497317606,16464.97429736324,44.72577575073757,-97.6798186974353,6242.251144350966,7885.952261060399,21.662611657982325,-21.63677301339953
VIB,1122.6540653809616,1467.7133884921798,15.446458898632862,-1.7642622736119535,4612.971931002532,5227.620535686981,65.87541286654609,-34.06750321503587,1708.7034988543317,2150.89832231996,23.88023470385668,-4.936582348630381
VIC,22944.7552506064,29989.170768568278,17.345314043777844,-6.442281291544614,89251.73510744495,110254.3049718486,68.27094720762882,-99.59311990102806,31909.219855911786,41748.546400079904,24.296286803512697,-13.423142154875979
VJC,10293.808109655512,12608.914821696904,17.996168004280847,-26.949672648202906,32812.81787247218,40193.7791876416,57.18750584521671,-283.0135030580186,14394.580155161308,19217.514325795266,25.156399015678115,-63.92556398679908
VNM,10699.21665644794,14022.294266845724,15.846106824289198,-9.739349609696196,34072.96276308098,40902.14247338873,50.393231493765,-90.37595760637899,15666.092261984917,20566.120698364935,23.402325901898568,-22.10173445721994
VPB,6163.285378221138,7648.08518766101,14.385988557372754,-6.193807290858298,17595.65715236377,22533.649047679977,41.2168666065034,-61.44769582037422,8541.328936242784,10936.034844011008,19.90105676291584,-13.708660943765738
VRE,25150.50735100422,31967.89271914889,16.344037870649505,-2.3456269884375804,91380.55581184178,113605.85101037036,60.073351467669035,-41.25235297702082,39437.151530604984,49790.91162597607,25.5590486739447,-7.116142365599103
