Ticker,Simple RNN MAE,Simple RNN RMSE,Simple RNN MAPE,Simple RNN R²,GRU MAE,GRU RMSE,GRU MAPE,GRU R²,LSTM MAE,LSTM RMSE,LSTM MAPE,LSTM R²
ACB,0.8358444590599202,1.1779068482184376,3.3171200294491268,0.5433678092829717,0.9864474594373027,1.357763899214056,3.870482157393218,0.3932732466978798,0.6305082899463107,0.8724840483171072,2.5001799325720326,0.7494700673153469
BCM,1.99653996020363,2.5177548582658034,3.018740949786093,0.16313640992508072,2.1832505788171406,2.9102604776875975,3.302397774071629,-0.1181279682274754,1.433348398687363,1.7719469644809769,2.1552039920239534,0.585495522763047
BID,1.0383263535508662,1.3070924774580062,2.6658774367156397,0.4437337787543283,1.2441398900767955,1.5921074166802365,3.209493457140302,0.1746944054300762,0.9254750537642312,1.2141239151577323,2.3754348237942144,0.5200499010476733
BVH,2.272080967931364,2.9288771690274986,4.175697810940258,0.21354086986856724,2.9931323626593636,3.969050742348321,5.510300375441739,-0.44426585418203723,2.0242064999713065,2.601222086989568,3.720554175779812,0.3796615405770367
CTG,1.1382058964564807,1.3596050991984177,3.4045110136770704,0.6448763515485378,1.3193673768898873,1.7326992404040873,3.9095241094233115,0.4232330128051446,0.8765172663926475,1.1598264295369518,2.567210089068633,0.7415717263529493
FPT,3.239662398535801,4.1406072887848255,3.2816964205361856,0.3667080173747005,3.9927493544045487,5.390000781224492,4.021192828900875,-0.07313302855981196,2.6236490126838152,3.4378189709021734,2.6711270894552634,0.563442038316763
GAS,2.0844273887901124,3.4295842914672106,3.1207425070364154,0.2572957384091865,2.55189375784814,3.3714366048336033,3.9356233281593185,0.28226694362757143,1.6702326437872534,2.2699646490385326,2.572361899111199,0.6746347696224223
GVR,0.9814655870797451,1.223364844938598,3.469331929709278,0.42342316034928196,1.3892267913529015,1.7446135298614824,4.88059059865745,-0.17258321500575136,1.0134982822141227,1.2214182612018691,3.582889118220068,0.4252565662604352
HDB,1.1797681602173675,1.5086291579830502,5.007895004824867,0.7375025624519231,1.3041742586221208,1.6105369314301956,5.564121945428024,0.7008414290494811,0.8824362702765844,1.1220086509987388,3.7834963767062817,0.8548047246581871
HPG,0.9624907709845616,1.2220202389022687,3.60812891151893,0.5056177819487448,1.2831259648333295,1.6148649413654623,4.746937558372616,0.13666677166882168,0.7521058067488008,0.9883741939099359,2.766182264038985,0.676593429139545
LPB,2.400557771993859,3.0791265255189804,5.413403212077391,0.7889724663905412,2.64771901355723,3.4985876070417987,5.953465843016927,0.7275608228402237,1.6743298007581466,2.2520943597021414,3.7634171673567964,0.8871095461787902
MBB,1.2049971666272286,1.6570264972722313,4.868006504453776,0.6288012910085709,1.3576132622815495,1.8967985444561497,5.450562739229984,0.5136040321098841,0.7718141787583178,1.066146499616661,3.1059301493211375,0.8463327492516396
MSN,2.778552560390762,3.6215186415670586,3.5359091598984147,0.21925712142704334,4.057652419992182,5.045049327711748,5.1256166106420125,-0.5151562277278665,2.760819677384104,3.507223415454299,3.4883995951014364,0.2677600066137189
MWG,2.9430493009663077,3.5137851306124435,3.816916093590841,0.7596583267387647,3.648775258002227,4.421144355513456,4.73103129585524,0.6195057748642893,2.6229742722453127,3.3543903528674197,3.3972834102385643,0.7809688518115041
PLX,0.8947073882894246,1.2406646341791412,2.468181271116528,0.4324851200130222,1.2104850919979555,1.761988410704425,3.3389375367125425,-0.14465482410503028,0.9466210083103548,1.225234723210834,2.622260645071723,0.4465134901253194
SAB,1.0859158886400777,1.523678280866874,2.2528414062513114,0.2460541933599557,1.4738363857777192,2.062116922120708,3.061732598700301,-0.38095697651837357,1.0330104018076494,1.4024718041068713,2.158194096719682,0.36123390877117345
SSB,0.6304166070365256,0.8140380149197723,3.286495278154563,0.6521878083234864,0.7037543683975833,0.9104348220490666,3.660793667874941,0.5649360002795432,0.47363606761488697,0.647854929038053,2.4645327333879465,0.7797017929448694
SSI,1.8973646855528672,2.377558805149352,6.10018802150973,0.68738698826795,2.2583329856849335,2.708429884924224,7.035375951006709,0.5943236312250948,1.0339529399252136,1.3817808094738742,3.2385222588145544,0.8944099903877648
TCB,1.458073492268632,1.7732798415407376,4.10010284803113,0.36223185797707846,1.8346311774389796,2.3322946318592668,5.1527855594464675,-0.10325293797690205,1.2208899581035273,1.5997360055049534,3.395454561295219,0.4809551257637902
TPB,0.8555195535496352,1.202090677825544,4.933144598108668,0.6255798682094358,0.9128801985185171,1.2110114765950657,5.181425151351682,0.6200020522106362,0.6035869378554133,0.8354082790173925,3.436881992003656,0.8191650863591949
VCB,1.5452821937776646,2.0408591547735764,2.5284766169229465,0.5182086127620462,2.137058061188224,2.6874743316557343,3.476027337961695,0.1645477862530209,1.3783656288056423,1.7854897271343597,2.2338069916907908,0.6312367143482214
VHM,6.947185160676985,9.36413911948701,6.730508108794107,0.47781007791446883,9.135611904027595,12.104303681644213,8.986217351161862,0.1274860212251886,5.950775812397122,8.23653762953492,5.732629290973996,0.5959992742173567
VIB,0.8282375561346108,1.0937111367496455,4.255076986715274,0.6041745640519085,0.8579764599908567,1.152841568198753,4.3578581517587835,0.5602177619402091,0.5411517191468924,0.7914501228741686,2.7468425130119654,0.7927256643845654
VIC,9.052740535281703,12.071751560396812,8.953330392851495,0.8940553964480721,7.355824723637723,10.175488487892174,8.30368227285923,0.9247253410024893,6.112456697834353,8.50366161327059,6.295355730026972,0.9474285201679602
